|,|__birthdate,|__college,|__first_name,|__full_name,|__gsis_id,|__gsis_name,|__height,|__last_name,|__number,|__position,|__profile_id,|__profile_url,|__status,|__team,|__weight,|__years_pro
00-0021162,7/17/1980,UCLA,Robert,Robert Thomas,00-0021162,R.Thomas,72,Thomas,,,2505032,http://www.nfl.com/player/robertthomas/2505032/pro...,,,235,8
00-0021163,12/01/1980,Florida,Jabar,Jabar Gaffney,00-0021163,J.Gaffney,74,Gaffney,,,2505033,http://www.nfl.com/player/jabargaffney/2505033/pro...,,,200,11
00-0021166,05/01/1980,LSU,Josh,Josh Reed,00-0021166,J.Reed,70,Reed,,,2505036,http://www.nfl.com/player/joshreed/2505036/profile,,,210,9
00-0021173,6/30/1980,Stanford,Tank,Tank Williams,00-0021173,T.Williams,74,Williams,,,2505043,http://www.nfl.com/player/tankwilliams/2505043/pro...,,,223,8
00-0021174,9/21/1979,Auburn,Tim,Tim Carter,00-0021174,T.Carter,72,Carter,,,2505044,http://www.nfl.com/player/timcarter/2505044/profil...,,,185,8
00-0021175,06/12/1979,Virginia Tech,Andre,Andre Davis,00-0021175,A.Davis,73,Davis,,,2505045,http://www.nfl.com/player/andredavis/2505045/profi...,,,200,9
00-0021178,6/26/1979,San Diego State,Chester,Chester Pitts,00-0021178,C.Pitts,76,Pitts,,,2505048,http://www.nfl.com/player/chesterpitts/2505048/pro...,,,308,9
00-0021179,09/01/1981,Miami (Fla.),Clinton,Clinton Portis,00-0021179,C.Portis,71,Portis,,,2505049,http://www.nfl.com/player/clintonportis/2505049/pr...,,,219,9
00-0021181,09/03/1979,California,Langston,Langston Walker,00-0021181,L.Walker,80,Walker,,,2505051,http://www.nfl.com/player/langstonwalker/2505051/p...,,,360,9
00-0021182,12/01/1979,Oregon,Maurice,Maurice Morris,00-0021182,M.Morris,71,Morris,,,2505052,http://www.nfl.com/player/mauricemorris/2505052/pr...,,,216,10
00-0021184,8/27/1979,Iowa,Ladell,Ladell Betts,00-0021184,L.Betts,71,Betts,,,2505054,http://www.nfl.com/player/ladellbetts/2505054/prof...,,,224,9
00-0021185,4/29/1980,Colorado,Michael,Michael Lewis,00-0021185,M.Lewis,73,Lewis,,,2505055,http://www.nfl.com/player/michaellewis/2505055/pro...,,,222,9
00-0021186,3/19/1979,South Carolina,Sheldon,Sheldon Brown,00-0021186,S.Brown,70,Brown,,,2505056,http://www.nfl.com/player/sheldonbrown/2505056/pro...,,,200,11
00-0021187,04/02/1979,Kansas State,Jon,Jon McGraw,00-0021187,J.McGraw,75,McGraw,,,2505057,http://www.nfl.com/player/jonmcgraw/2505057/profil...,,,208,10
00-0021189,6/15/1977,Brigham Young,Ryan,Ryan Denney,00-0021189,R.Denney,79,Denney,,,2505059,http://www.nfl.com/player/ryandenney/2505059/profi...,,,264,9
00-0021190,8/17/1979,Indiana,Antwaan Randle,Antwaan Randle El,00-0021190,A.Randle El,70,El,,,2505060,http://www.nfl.com/player/antwaanrandleel/2505060/...,,,185,9
00-0021191,03/09/1981,Pittsburgh,Antonio,Antonio Bryant,00-0021191,A.Bryant,73,Bryant,,,2505061,http://www.nfl.com/player/antoniobryant/2505061/pr...,,,211,8
00-0021192,7/18/1979,Louisville,Deion,Deion Branch,00-0021192,D.Branch,69,Branch,86,,2505062,http://www.nfl.com/player/deionbranch/2505062/prof...,,,195,12
00-0021194,08/11/1978,South Carolina,Andre',Andre' Goodman,00-0021194,A.Goodman,70,Goodman,,,2505064,http://www.nfl.com/player/andre'goodman/2505064/pr...,,,191,10
00-0021197,12/07/1978,Kansas State,Ben,Ben Leber,00-0021197,B.Leber,75,Leber,,,2505067,http://www.nfl.com/player/benleber/2505067/profile,,,245,10
00-0021201,3/31/1979,Maryland,Melvin,Melvin Fowler,00-0021201,M.Fowler,75,Fowler,,,2505071,http://www.nfl.com/player/melvinfowler/2505071/pro...,,,310,8
00-0021206,07/04/1979,Sam Houston State,Josh,Josh McCown,00-0021206,J.McCown,76,McCown,15,QB,2505076,http://www.nfl.com/player/joshmccown/2505076/profi...,ACT,NYJ,218,15
00-0021213,11/18/1979,Michigan State,Chris,Chris Baker,00-0021213,C.Baker,75,Baker,,,2505083,http://www.nfl.com/player/chrisbaker/2505083/profi...,,,261,9
00-0021214,9/17/1979,Purdue,Akin,Akin Ayodele,00-0021214,A.Ayodele,74,Ayodele,,,2505084,http://www.nfl.com/player/akinayodele/2505084/prof...,,,245,9
00-0021215,06/12/1979,Texas A&M;,Seth,Seth McKinney,00-0021215,S.McKinney,75,McKinney,,,2505085,http://www.nfl.com/player/sethmckinney/2505085/pro...,,,310,8
00-0021216,09/02/1979,Villanova,Brian,Brian Westbrook,00-0021216,B.Westbrook,70,Westbrook,,,2505086,http://www.nfl.com/player/brianwestbrook/2505086/p...,,,203,9
00-0021218,1/28/1978,Mississippi,Terrence,Terrence Metcalf,00-0021218,T.Metcalf,76,Metcalf,,,2505088,http://www.nfl.com/player/terrencemetcalf/2505088/...,,,310,9
00-0021219,9/29/1980,Florida State,Chris,Chris Hope,00-0021219,C.Hope,72,Hope,,,2505089,http://www.nfl.com/player/chrishope/2505089/profil...,,,208,12
00-0021222,11/07/1978,Stanford,Coy,Coy Wire,00-0021222,C.Wire,72,Wire,,,2505092,http://www.nfl.com/player/coywire/2505092/profile,,,225,10
00-0021224,04/05/1979,Arkansas-Pine Bluff,Dante,Dante Wesley,00-0021224,D.Wesley,73,Wesley,,,2505094,http://www.nfl.com/player/dantewesley/2505094/prof...,,,215,9
00-0021225,12/29/1979,Northwestern,Kevin,Kevin Bentley,00-0021225,K.Bentley,72,Bentley,,,2505095,http://www.nfl.com/player/kevinbentley/2505095/pro...,,,248,10
00-0021227,3/15/1979,Oregon,Justin,Justin Peelle,00-0021227,J.Peelle,76,Peelle,,,2505097,http://www.nfl.com/player/justinpeelle/2505097/pro...,,,251,11
00-0021228,06/04/1979,Florida,Alex,Alex Brown,00-0021228,A.Brown,75,Brown,,,2505098,http://www.nfl.com/player/alexbrown/2505098/profil...,,,260,11
00-0021229,07/02/1979,North Carolina State,Brian,Brian Williams,00-0021229,B.Williams,72,Williams,,,2505099,http://www.nfl.com/player/brianwilliams/2505099/pr...,,,192,10
00-0021230,11/01/1978,North Carolina,David,David Thornton,00-0021230,D.Thornton,74,Thornton,,,2505100,http://www.nfl.com/player/davidthornton/2505100/pr...,,,233,9
00-0021231,2/14/1978,East Carolina,David,David Garrard,00-0021231,D.Garrard,73,Garrard,4,,2505101,http://www.nfl.com/player/davidgarrard/2505101/pro...,,,236,10
00-0021235,10/26/1978,Ohio U.,Dave,Dave Zastudil,00-0021235,D.Zastudil,75,Zastudil,9,,2505105,http://www.nfl.com/player/davezastudil/2505105/pro...,,,220,14
00-0021236,6/28/1979,Georgia,Randy,Randy McMichael,00-0021236,R.McMichael,75,McMichael,,,2505106,http://www.nfl.com/player/randymcmichael/2505106/p...,,,248,11
00-0021244,01/12/1979,LSU,Jarvis,Jarvis Green,00-0021244,J.Green,75,Green,,,2505114,http://www.nfl.com/player/jarvisgreen/2505114/prof...,,,285,9
00-0021246,06/12/1980,Michigan,Larry,Larry Foote,00-0021246,L.Foote,73,Foote,50,,2505116,http://www.nfl.com/player/larryfoote/2505116/profi...,,,239,13
00-0021250,1/24/1980,Notre Dame,Rocky,Rocky Boiman,00-0021250,R.Boiman,76,Boiman,,,2505119,http://www.nfl.com/player/rockyboiman/2505119/prof...,,,236,9
00-0021255,01/10/1980,Notre Dame,John,John Owens,00-0021255,J.Owens,75,Owens,,,2505124,http://www.nfl.com/player/johnowens/2505124/profil...,,,255,9
00-0021257,12/23/1978,Florida,Andra,Andra Davis,00-0021257,A.Davis,73,Davis,,,2505126,http://www.nfl.com/player/andradavis/2505126/profi...,,,255,10
00-0021259,4/28/1979,California,Scott,Scott Fujita,00-0021259,S.Fujita,77,Fujita,,,2505128,http://www.nfl.com/player/scottfujita/2505128/prof...,,,250,11
